Dice,IoU,Sensitivity,FPR,RMSE,Hausdorff Distance,Method,Scan_ID
0.7184782608695652,0.5606446140797285,0.6727735368956743,0.0012771558097590303,0.0578393359957284,12.24744871391589,SegNet,841-11
0.7499282227964399,0.5999081304547542,0.6646310432569974,0.0006889491899972377,0.05303376969906937,11.224972160321824,Rational Quadratic,841-11
0.739841986455982,0.587102552619794,0.667175572519084,0.0008709357684870741,0.05456433685210086,10.14889156509222,Exponential Sine Sq,841-11
0.7400056705415368,0.5873087308730873,0.6641221374045801,0.000835188404855142,0.05441618470017619,10.488088481701515,Matèrn,841-11
0.779896013864818,0.6392045454545454,0.7715387912558938,0.0014854179929327319,0.05569871554377077,9.0,SegNet,673-35
0.775951362305787,0.6339220014716703,0.7385340762966138,0.0011840288349463804,0.05512008346368021,11.575836902790225,Rational Quadratic,673-35
0.7501109631602308,0.6001420454545454,0.7243891984569224,0.0014854179929327319,0.05863643005352225,9.327379053088816,Exponential Sine Sq,673-35
0.7697684578418523,0.6257102272727273,0.7552507501071581,0.0014854179929327319,0.05673076390606978,10.488088481701515,Matèrn,673-35
0.7232704402515723,0.5665024630541872,0.7358318098720292,0.002734067992174044,0.07144040656053152,7.211102550927978,SegNet,163-19
0.69375,0.5311004784688995,0.7102376599634369,0.003085232688416582,0.07539032563736782,6.324555320336759,Rational Quadratic,163-19
0.6034201954397395,0.43206997084548104,0.6773308957952467,0.005192220865871808,0.08983240768308426,14.7648230602334,Exponential Sine Sq,163-19
0.7100538599640933,0.5504523312456506,0.7230347349177331,0.002867845019314058,0.07315934698339863,5.916079783099616,Matèrn,163-19
0.7604123711340206,0.6134397870924817,0.7962003454231433,0.0028861115293881442,0.0693811713251288,2.449489742783178,SegNet,692-8
0.6914082358922217,0.5283605283605284,0.5872193436960277,0.0010791547457712192,0.07091660017995118,2.8284271247461903,Rational Quadratic,692-8
0.7095808383233533,0.5498839907192575,0.6139896373056994,0.0011293479897605781,0.06944085406418653,2.6457513110645907,Exponential Sine Sq,692-8
0.6853002070393375,0.521259842519685,0.5716753022452504,0.0009369405544680352,0.07097499179147418,2.8284271247461903,Matèrn,692-8
0.6672653794342165,0.5006738544474394,0.6937441643323996,0.0034524555903866247,0.07835426937398524,5.477225575051661,SegNet,057-6
0.6296479920674268,0.459479015918958,0.5929038281979458,0.002599791013584117,0.07867085356999565,5.916079783099616,Rational Quadratic,057-6
0.6207951070336392,0.4501108647450111,0.5686274509803921,0.0023573667711598747,0.07851272104112408,6.244997998398398,Exponential Sine Sq,057-6
0.624,0.45348837209302323,0.5826330532212886,0.002549634273772205,0.07893370379638584,5.744562646538029,Matèrn,057-6
0.7433903576982893,0.5915841584158416,0.7206030150753768,0.001812850352127384,0.06404071333772084,7.810249675906654,SegNet,975-5
0.744,0.5923566878980892,0.6542713567839196,0.0008688315051670413,0.060924583421765495,7.416198487095663,Rational Quadratic,975-5
0.7108571428571429,0.5514184397163121,0.6251256281407035,0.0011111018287232354,0.06474836701175306,8.660254037844387,Exponential Sine Sq,975-5
0.6911764705882353,0.5280898876404494,0.5668341708542713,0.0006098528834345577,0.06462027911774385,6.557438524302,Matèrn,975-5
0.7874251497005988,0.6493827160493827,0.796969696969697,0.0018796050323292065,0.059409837008247965,6.082762530298219,SegNet,863-23
0.7530589543937709,0.6039250669045495,0.6838383838383838,0.0010943478188227824,0.06065198884000885,6.244997998398398,Rational Quadratic,863-23
0.7497142857142857,0.5996343692870201,0.6626262626262627,0.0008687952149432777,0.060240784174410464,6.244997998398398,Exponential Sine Sq,863-23
0.7657206455203116,0.6203787195671776,0.694949494949495,0.000994102217098558,0.05906015864999611,6.082762530298219,Matèrn,863-23
0.6779342723004694,0.5127840909090909,0.6741363211951448,0.0028171368861024033,0.07539032563736782,6.708203932499369,SegNet,502-19
0.6020918599363347,0.43070917371502926,0.6181139122315593,0.0038955067920585164,0.08514469376995273,6.48074069840786,Rational Quadratic,502-19
0.6449760765550239,0.4759887005649718,0.6293183940242764,0.002884012539184953,0.07840712217552571,6.244997998398398,Exponential Sine Sq,502-19
0.6345454545454545,0.4647137150466045,0.6517273576097106,0.0036029258098223614,0.08161718010497503,6.708203932499369,Matèrn,502-19
0.7587209302325582,0.6112412177985949,0.7822177822177823,0.002339279000793684,0.06423448295856724,7.280109889280518,SegNet,778-6
0.7253599114064231,0.5690703735881842,0.6543456543456544,0.0012531851789966163,0.06410536828941014,8.774964387392123,Rational Quadratic,778-6
0.7732884399551067,0.6303751143641354,0.6883116883116883,0.0007686202431179247,0.057855445738301224,8.12403840463596,Exponential Sine Sq,778-6
0.7720264317180616,0.6286995515695067,0.7002997002997003,0.0009524207360374284,0.05856710159078454,8.366600265340756,Matèrn,778-6
0.8203894115073288,0.6954747774480712,0.8430755395683454,0.0016538423804117787,0.05342715364698666,12.288205727444508,SegNet,699-3
0.8053691275167785,0.6741573033707865,0.7284172661870504,0.0006271986993510771,0.05217606710935647,12.727922061357855,Rational Quadratic,699-3
0.7705093833780161,0.626689925861317,0.6461330935251799,0.00024176933103477275,0.05455409320664265,12.409673645990857,Exponential Sine Sq,699-3
0.8290998766954377,0.7080876158382476,0.7558453237410072,0.0005255855022495059,0.04908593594758723,13.2664991614216,Matèrn,699-3
